ID_Name,Audio_Path,Video_Path,ENtire_Label,Audio_Label,Video_Label,Identi_Label,Sync_Label,Frame_Len,Audio_Len,FPS,AudioSamRate
fjem0+sx274+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx274/sx274/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx274/sx274/00000.avi,0,0,0,1,1,121.0,77440,25.0,16000
fjem0+sa2+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sa2/sa2/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sa2/sa2/00000.avi,0,0,0,1,1,123.0,78720,25.0,16000
fjem0+si1894+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si1894/si1894/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si1894/si1894/00000.avi,0,0,0,1,1,159.0,101760,25.0,16000
fjem0+sx364+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx364/sx364/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx364/sx364/00000.avi,0,0,0,1,1,179.0,114560,25.0,16000
fjem0+si634+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si634/si634/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si634/si634/00000.avi,0,0,0,1,1,224.0,143360,25.0,16000
fjem0+si1264+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si1264/si1264/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/si1264/si1264/00000.avi,0,0,0,1,1,118.0,75520,25.0,16000
fjem0+sx4+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx4/sx4/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx4/sx4/00000.avi,0,0,0,1,1,137.0,87680,25.0,16000
fjem0+sa1+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sa1/sa1/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sa1/sa1/00000.avi,0,0,0,1,1,158.0,101120,25.0,16000
fjem0+sx184+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx184/sx184/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx184/sx184/00000.avi,0,0,0,1,1,155.0,99200,25.0,16000
fjem0+sx94+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx94/sx94/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/fjem0/video/sx94/sx94/00000.avi,0,0,0,1,1,111.0,71040,25.0,16000
mrgg0+sa2+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sa2/sa2/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sa2/sa2/00000.avi,0,0,0,1,1,148.0,94720,25.0,16000
mrgg0+si1829+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si1829/si1829/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si1829/si1829/00000.avi,0,0,0,1,1,240.0,153600,25.0,16000
mrgg0+sx209+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx209/sx209/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx209/sx209/00000.avi,0,0,0,1,1,122.0,78080,25.0,16000
mrgg0+sa1+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sa1/sa1/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sa1/sa1/00000.avi,0,0,0,1,1,134.0,85760,25.0,16000
mrgg0+sx119+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx119/sx119/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx119/sx119/00000.avi,0,0,0,1,1,118.0,75520,25.0,16000
mrgg0+sx29+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx29/sx29/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx29/sx29/00000.avi,0,0,0,1,1,117.0,74880,25.0,16000
mrgg0+si569+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si569/si569/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si569/si569/00000.avi,0,0,0,1,1,101.0,64640,25.0,16000
mrgg0+sx299+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx299/sx299/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx299/sx299/00000.avi,0,0,0,1,1,122.0,78080,25.0,16000
mrgg0+sx389+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx389/sx389/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/sx389/sx389/00000.avi,0,0,0,1,1,116.0,74240,25.0,16000
mrgg0+si1199+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si1199/si1199/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mrgg0/video/si1199/si1199/00000.avi,0,0,0,1,1,118.0,75520,25.0,16000
mjsw0+si1010+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/si1010/si1010/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/si1010/si1010/00000.avi,0,0,0,1,1,138.0,88320,25.0,16000
mjsw0+sa2+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/sa2/sa2/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/sa2/sa2/00000.avi,0,0,0,1,1,89.0,56960,25.0,16000
mjsw0+sx380+none,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/sx380/sx380/audio.wav,/data1/chenpeng/data/DeepfakeTIMIT/original_Tracking/pycrop/mjsw0/video/sx380/sx380/00000.avi,0,0,0,1,1,75.0,48000,25.0,16000
