ID_Name,Audio_Path,Video_Path,ENtire_Label,Audio_Label,Video_Label,Identi_Label,Sync_Label,Frame_Len,Audio_Len,FPS,AudioSamRate
id05845+00027+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id05845/XfMHm6CEwPw/00027_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id05845/XfMHm6CEwPw/00027.mp4,0,0,0,1,1,146.0,94208,25.0,16000
id06439+00118+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id06439/h6KjOx7n15A/00118_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id06439/h6KjOx7n15A/00118.mp4,0,0,0,1,1,176.0,112640,25.0,16000
id00739+00005+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00739/CT-6UmfLiU0/00005_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00739/CT-6UmfLiU0/00005.mp4,0,0,0,1,1,177.0,113664,25.0,16000
id00488+00028+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00488/F3YxmZ9CYFw/00028_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00488/F3YxmZ9CYFw/00028.mp4,0,0,0,1,1,192.0,122880,25.0,16000
id00080+00281+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00080/y29QtxBTASE/00281_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00080/y29QtxBTASE/00281.mp4,0,0,0,1,1,152.0,97280,25.0,16000
id05434+00052+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id05434/6p7kCmdOjDQ/00052_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id05434/6p7kCmdOjDQ/00052.mp4,0,0,0,1,1,111.0,71680,25.0,16000
id02310+00139+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id02310/zA-8Pw0SvZg/00139_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id02310/zA-8Pw0SvZg/00139.mp4,0,0,0,1,1,234.0,150528,25.0,16000
id00461+00043+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00461/Ort9NW3SJU4/00043_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00461/Ort9NW3SJU4/00043.mp4,0,0,0,1,1,157.0,101376,25.0,16000
id01026+00083+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id01026/rM4ZERt7oM0/00083_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id01026/rM4ZERt7oM0/00083.mp4,0,0,0,1,1,115.0,73728,25.0,16000
id06232+00025+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id06232/GiPuw-FvbeM/00025_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id06232/GiPuw-FvbeM/00025.mp4,0,0,0,1,1,128.0,81920,25.0,16000
id03897+00021+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id03897/bOGItcSqK1s/00021_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id03897/bOGItcSqK1s/00021.mp4,0,0,0,1,1,134.0,86016,25.0,16000
id03559+00023+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id03559/pgetxl1qbzM/00023_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id03559/pgetxl1qbzM/00023.mp4,0,0,0,1,1,242.0,155648,25.0,16000
id04070+00072+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04070/F3CgrqRjcgw/00072_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04070/F3CgrqRjcgw/00072.mp4,0,0,0,1,1,143.0,92160,25.0,16000
id00235+00052+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00235/F7aHtfdzytQ/00052_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00235/F7aHtfdzytQ/00052.mp4,0,0,0,1,1,140.0,90112,25.0,16000
id04530+00231+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04530/W5-PTTL9HzU/00231_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04530/W5-PTTL9HzU/00231.mp4,0,0,0,1,1,133.0,86016,25.0,16000
id00747+00053+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00747/l3eOd4UDsGc/00053_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id00747/l3eOd4UDsGc/00053.mp4,0,0,0,1,1,167.0,107520,25.0,16000
id04529+00186+ARVR,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04529/S92uo-UShxE/00186_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/REAL_A/Indian/WOMEN/id04529/S92uo-UShxE/00186.mp4,0,0,0,1,1,126.0,80896,25.0,16000
