ID_Name,Audio_Path,Video_Path,ENtire_Label,Audio_Label,Video_Label,Identi_Label,Sync_Label,Frame_Len,Audio_Len,FPS,AudioSamRate
0jhYr0nhSAE_000053_000059.0+RL,/data2/caiyu/data/My_Test/Res_Real/0jhYr0nhSAE_000053_000059.wav,/data2/caiyu/data/My_Test/Res_Real/0jhYr0nhSAE_000053_000059.0.mp4,0,0,0,0,0,180.0,96224,25.0,16000
0jhYr0nhSAE_000053_000059.1+RS,/data2/caiyu/data/My_Test/Res_Real/0jhYr0nhSAE_000053_000059.wav,/data2/caiyu/data/My_Test/Res_Real/0jhYr0nhSAE_000053_000059.1.mp4,0,0,0,1,1,180.0,96224,25.0,16000
0jhYr0nhSAE_000053_000059.0+FL,/data2/caiyu/data/My_Test/Res_Real/0jhYr0nhSAE_000053_000059.wav,/data2/caiyu/data/My_Test/Res_Fake/0jhYr0nhSAE_000053_000059.0.mp4,1,0,1,0,0,180.0,96224,25.0,16000
1vkXIVT1kIk_000000_000007.1+RL,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000000_000007.wav,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000000_000007.1.mp4,0,0,0,0,0,210.0,112570,25.0,16000
1vkXIVT1kIk_000000_000007.0+RS,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000000_000007.wav,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000000_000007.0.mp4,0,0,0,1,1,210.0,112570,25.0,16000
1vkXIVT1kIk_000000_000007.1+FL,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000000_000007.wav,/data2/caiyu/data/My_Test/Res_Fake/1vkXIVT1kIk_000000_000007.1.mp4,1,0,1,0,0,210.0,112570,25.0,16000
1vkXIVT1kIk_000013_000018.1+RL,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000013_000018.wav,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000013_000018.1.mp4,0,0,0,0,0,150.0,80620,25.0,16000
1vkXIVT1kIk_000013_000018.0+RS,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000013_000018.wav,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000013_000018.0.mp4,0,0,0,1,1,150.0,80620,25.0,16000
1vkXIVT1kIk_000013_000018.1+FL,/data2/caiyu/data/My_Test/Res_Real/1vkXIVT1kIk_000013_000018.wav,/data2/caiyu/data/My_Test/Res_Fake/1vkXIVT1kIk_000013_000018.1.mp4,1,0,1,0,0,150.0,80620,25.0,16000
1zUPeXmZ6SI_000040_000058.1+RL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000040_000058.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000040_000058.1.mp4,0,0,0,0,0,540.0,288299,25.0,16000
1zUPeXmZ6SI_000040_000058.0+RS,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000040_000058.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000040_000058.0.mp4,0,0,0,1,1,540.0,288299,25.0,16000
1zUPeXmZ6SI_000040_000058.1+FL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000040_000058.wav,/data2/caiyu/data/My_Test/Res_Fake/1zUPeXmZ6SI_000040_000058.1.mp4,1,0,1,0,0,540.0,288299,25.0,16000
1zUPeXmZ6SI_000096_000111.0+RL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000096_000111.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000096_000111.0.mp4,0,0,0,0,0,450.0,240373,25.0,16000
1zUPeXmZ6SI_000096_000111.1+RS,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000096_000111.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000096_000111.1.mp4,0,0,0,1,1,450.0,240373,25.0,16000
1zUPeXmZ6SI_000096_000111.0+FL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000096_000111.wav,/data2/caiyu/data/My_Test/Res_Fake/1zUPeXmZ6SI_000096_000111.0.mp4,1,0,1,0,0,450.0,240373,25.0,16000
1zUPeXmZ6SI_000151_000178.0+RL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000151_000178.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000151_000178.0.mp4,0,0,0,0,0,810.0,432077,25.0,16000
1zUPeXmZ6SI_000151_000178.1+RS,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000151_000178.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000151_000178.1.mp4,0,0,0,1,1,810.0,432077,25.0,16000
1zUPeXmZ6SI_000151_000178.0+FL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000151_000178.wav,/data2/caiyu/data/My_Test/Res_Fake/1zUPeXmZ6SI_000151_000178.0.mp4,1,0,1,0,0,810.0,432077,25.0,16000
1zUPeXmZ6SI_000206_000227.0+RL,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000206_000227.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000206_000227.0.mp4,0,0,0,0,0,630.0,336597,25.0,16000
1zUPeXmZ6SI_000206_000227.1+RS,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000206_000227.wav,/data2/caiyu/data/My_Test/Res_Real/1zUPeXmZ6SI_000206_000227.1.mp4,0,0,0,1,1,630.0,336597,25.0,16000
