ID_Name,Audio_Path,Video_Path,ENtire_Label,Audio_Label,Video_Label,Identi_Label,Sync_Label,Frame_Len,Audio_Len,FPS,AudioSamRate
aab87631d62d037bARVR,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/aab87631d62d037b/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/aab87631d62d037b/00000.avi,0,0,0,1,1,1251.0,800810,25.0,16000
fefff0988bc18d86ARVF,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fefff0988bc18d86/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fefff0988bc18d86/00000.avi,1,0,1,0,1,1167.0,778240,25.0,16000
a0bdfada2be8f82cARVR,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/a0bdfada2be8f82c/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/a0bdfada2be8f82c/00000.avi,0,0,0,1,1,2331.0,1491696,25.0,16000
ec9b053aa880df05ARVF,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/ec9b053aa880df05/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/ec9b053aa880df05/00000.avi,1,0,1,0,1,1645.0,1053257,25.0,16000
2c179f402b1e1eebARVF,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/2c179f402b1e1eeb/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/2c179f402b1e1eeb/00000.avi,1,0,1,0,1,1232.0,822126,25.0,16000
53f6a038f9ede011ARVR,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/53f6a038f9ede011/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/53f6a038f9ede011/00000.avi,0,0,0,1,1,1472.0,942080,25.0,16000
fa20a0279191dc5aDubbing,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fa20a0279191dc5a/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fa20a0279191dc5a/00000.avi,0,0,0,0,0,1208.0,772807,25.0,16000
fe453d7b601bc15dARVF,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fe453d7b601bc15d/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/fe453d7b601bc15d/00000.avi,1,0,1,0,1,535.0,356937,25.0,16000
a99c5932cf68b1f7ARVR,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/a99c5932cf68b1f7/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/a99c5932cf68b1f7/00000.avi,0,0,0,1,1,769.0,513254,25.0,16000
5aa2fb1f9dec56cfARVF,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/5aa2fb1f9dec56cf/audio.wav,/data5/caiyu/data/TMC_TRACKING/tmc_train_07/pycrop/5aa2fb1f9dec56cf/00000.avi,1,0,1,0,1,1172.0,781584,25.0,16000
